Threads,32,64,128,256,512,1024,2048,4096
1,1.75522e+09,3.90585e+09,4.32627e+09,4.39546e+09,4.27556e+09,4.01429e+09,2.79873e+09,2.61403e+09
2,1.438e+07,1.1315e+08,7.28124e+08,2.39154e+09,3.63411e+09,3.89273e+09,2.7159e+09,2.59587e+09
4,5.31772e+06,3.59762e+07,2.40918e+08,1.09597e+09,2.31618e+09,3.33103e+09,2.52458e+09,2.4859e+09
8,2.6065e+06,1.65233e+07,9.12093e+07,4.28517e+08,1.50865e+09,2.50835e+09,2.32568e+09,2.34177e+09
16,1.27967e+06,7.5293e+06,4.22178e+07,1.98531e+08,7.41237e+08,1.93443e+09,1.91173e+09,2.11595e+09
32,554737,3.48224e+06,1.74846e+07,7.8931e+07,3.13145e+08,1.00494e+09,1.56109e+09,1.77963e+09
